Batch Elasped-time
1 2078.7053792476654
2 2174.939326763153
3 2171.192307949066
4 2149.86142039299
5 2192.592004776001
6 2188.392127752304
7 2456.494798183441
8 2742.585437297821
9 2179.1315743923187
10 2143.2924423217773
11 2196.471450328827
12 2195.65575838089
13 2261.3645119667053
14 2205.2610557079315
15 2219.7403967380524
16 2242.894753217697
17 2219.744571685791
18 2223.416538953781
19 1898.0522725582123
20 1881.0936357975006
